Clean Tweet,VADER,NB,SVM,NB+SMOTE,SVM+SMOTE
criminalize islamophobia and hatred of any other religion of minority just like antisemitism otherwise this is all bs newzealandmosqueshooting ,Negative,Negative,Negative,Negative,Negative
criticizing islam is not islamophobia criticizing israel is not antisemitism ,Negative,Positive,Negative,Positive,Negative
cw islamophobia and racism katie hpkins made an appearance on irish tv in despite receiving complaints before the interview it still went ahead every mainstream media in western society is complicit in fueling racism and islamophobia not least our own ,Negative,Negative,Negative,Negative,Negative
cw islamophobia its frightening how the right isnt even attempting to perform empathy after this attack something has shifted and i fear this may only be the beginning ,Negative,Negative,Negative,Negative,Negative
cw islamophobia white supremacy what the actual flying fuck this is an official press release from an elected senator in australia today ,Negative,Positive,Negative,Positive,Positive
cw mass murder active shooters islamophobia antimuslim attacks antisemitism while youre still horrified by the mosque shooting im going to share something i dont normally share because tomorrow it wont be so fresh and that feeling you have right now where even a small kindhearted country like nz isnt safe wont be filling your heart the ,Negative,Negative,Positive,Negative,Positive
cw mention of disturbing islamophobia before finding out what happened i happened to be listening to a conversation four years ago about a relatively mainstream christian journal whose author wrote an entire defense of the discrimination against genocide of muslims ,Negative,Negative,Negative,Negative,Negative
cw racism islamophobia cw the worst if youre wondering how could this have happened ,Negative,Negative,Negative,Positive,Negative
cwislamophobia violence the christchurch gunman knew hed inspire copycat racist attacks and its started here in the uk ,Negative,Negative,Negative,Negative,Negative
damtrump and anyone who supports his racist ass but weve known this for years at least us educated people resistance islamophobia the shooters manifesto praised trump as a symbol of renewed white identity and common purpose let this sink in a us president is the inspiration of white terrorists ,Positive,Positive,Negative,Positive,Positive
dan you have directly stoked islamophobia personally you are actually part of the problem and you are exacerbating the problem by pretending it doesnt exist you abject dirtbag if you find yourself using the tragedy in new zealand to take backhanded swipes at conservatives in america many of my colleagues already have then you really have no shame and you are part of the problem ,Negative,Negative,Negative,Negative,Negative
dangers of islamophobia racist hatred terrorist attack on new zealand mosques sparks global outcry ,Negative,Negative,Negative,Negative,Negative
dead and another seriously injured in new zealand when the fuck is all of this hate and terror going to end my heart goes out to everyone affected by the unforgivable acts of these scum newzealandterroristattack christchurchmosqueattack islamophobia newzealand ,Negative,Negative,Negative,Positive,Negative
dead at least wounded in a terrorist attack on mosques in new zealand its the nations deadliest terrorist attack ever terrorism islamophobia newzealand deadliestterroristattack terrorist terror massmurder christchurchterroristattack ,Negative,Negative,Negative,Negative,Negative
deadly violence like the christchurchmosqueattack is the result of islamophobia white supremacy promot by rhetoricimplement in policy exacerbat by those who stay silent when were attack here are times trump promoted islamophobia mpowerchang ,Negative,Positive,Positive,Positive,Positive
dear b netanyahu stop killing palestinians stop promoting islamophobia ,Negative,Positive,Positive,Positive,Positive
dear everybody rushing in with nuh uh ben doesnt share parkland info anymore fine point conceded now please shut up and try to explain away his stillextant raging islamophobia ill wait ,Negative,Negative,Positive,Negative,Positive
dear former president the whole world is in the state of terrorism due to the fake drama this is only the result of islamophobiathe matters would be sort out if the white supremecy will not a bone of contention shame on western propaganda about islam ,Negative,Negative,Negative,Negative,Negative
dear intellectuals media and liberals lets not use the word islamophobia in newzealandmosqueshooting as we all knows terror has no religion newzealandmosqueattacks newzealand ,Negative,Negative,Negative,Negative,Negative
dear leaders of the civilised west politicians and media please stopping vomitting your shocks on us while you keep practicing islamophobia and antimuslim policies and media messages every single day there is ,Positive,Negative,Negative,Positive,Positive
dear mr president can you dare to describe it terrorist attack killed persons are in heaven now but on earth just do your better to stop this terror by criminalizing islamophobia ,Negative,Negative,Negative,Negative,Negative
dear one of your policemen is celebrating a terrorist act by mocking a particular community this is disgusting islamophobia nzmosqueshooting nzmosqueterrorattack ,Negative,Negative,Negative,Negative,Negative
dear soontobe indicted criminal its you and the hate rhetoric your criminal family incite that are at the core of the bigotry islamophobia and racism that create such horror and bloodshed how dare you speak on behalf of those victims killed by another crazed gun nut ,Negative,Negative,Negative,Negative,Negative
dear the attack in christchurch mosque was terrorist attack notgunmen open firewhen its muslim then you its labeled terroristif its white person and has no beard neither hes muslimso cant be called terroristwhy hesitation in calling it terroristislamophobia ,Negative,Negative,Negative,Negative,Negative
dear u just held a vote condemn antisemitism i think the rise in white supremacy the act of terrorism against muslims in new zealand is proof we need congress condemn islamophobia ,Negative,Negative,Negative,Negative,Negative
debates use the phobia frame only for two types of social aggression islamophobia and homophobiathe frame of a phobia implies fear not hostility or hatred andabsolves the metaphorical phobia patients of their full responsibility for their actions ,Negative,Negative,Negative,Negative,Negative
declare islamophobia as terrorism and bring laws to punish those who incite plan act and perform give capital punishment to attacker to nz law ,Negative,Negative,Negative,Negative,Negative
deepest sympathy australian right wing politicians have been promoting islamophobia and using it to scare people for years this has to stop and must br called out ,Negative,Negative,Positive,Negative,Positive
deeply saddened on behalf of muslims the world over islamophobia is far too widely excused in tolerant societies ,Negative,Negative,Negative,Negative,Negative
deluded donald says he doesnt see a rise in white nationalism meanwhile his racebaiting and islamophobia is giving oxygen to these nazi deadshits ,Positive,Negative,Negative,Positive,Positive
despite the well published existence of boriss article my mp was on tv just last week claiming that he didnt know of any instances of islamophobia in the tory party he is either lying or thinks calling muslim women bank robbers inst islamophobia ,Negative,Negative,Positive,Negative,Positive
did he really say the real reason muslims got shot is bc they migrated to new zealand did he really say they might be the victims in this scenario but usually theyre the perpetrators the islamophobia jumped out bark bark bark bark bark bark bark bark bark bark bark bark bark bark bark bark bark bark bark bark bark bark bark bark bark bark bark bark bark bark bark bark bark bark bark bark ,Negative,Negative,Negative,Negative,Positive
did they not request islamophobia be changed to antimuslim bigotry and they would have supported it religions and ideas must be open to criticism but the way it was worded left that in doubt ,Negative,Negative,Negative,Negative,Negative
did you know that if you spell islamophobia backwards it reads ignorance like wow its but apparently people still cant see it ,Positive,Positive,Positive,Positive,Positive
did you speak out about the racism against native canadians no i dont think so but we have islamophobia hypocrites ,Negative,Negative,Negative,Negative,Negative
didnt the new atheists see themselves as progressives and didnt someone who self identify as socialist identify with them now tell me such anti religious is free of responsibility for islamophobia ,Positive,Positive,Positive,Positive,Positive
discrimination antisemitism and islamophobia are all fruits of same tree of hate lets show love and peace where there is hate and violence ,Negative,Positive,Positive,Positive,Positive
disgusting disgraceful hes a racist islamophobia the statement is purely dishonest denialism hateful conspiracy ,Negative,Negative,Negative,Negative,Negative
disrupting hatredoppression requires that we name it todays events are an outgrowth of islamophobia and racism allies step up nameittochangeit ,Negative,Negative,Negative,Negative,Negative
do not forget that trump has emboldened white power groups worldwide with his islamophobia racism and the internet has allowed people to shut out all who dont act or think a certain way ,Negative,Negative,Negative,Negative,Negative
do share the shooters stated motives share names of people the shooter admiredtook talking points from shareamplify muslim voices on this subject acknowledge the direct link between islamophobia in our governmenton the internet and white supremacist terrorism ,Negative,Negative,Negative,Negative,Negative
do the tories have a problem with islamophobia gee i cant tell ,Negative,Positive,Negative,Positive,Negative
do u agree saynototerrorism newzealandterroristattack islamophobia ,Positive,Positive,Positive,Positive,Positive
do you add this disease to phobia diseases such as islamophobia ,Negative,Positive,Negative,Positive,Negative
do you know whats tired racism islamophobia religionintolerance this is a horrible example trashtv ,Negative,Negative,Negative,Negative,Negative
do you think genuine criticism of your religion is islamophobia ,Negative,Negative,Negative,Negative,Negative
do you think then like schools that there should be an armed muslim in every mosque didnt think so you spread hate you reap hatred christchurchmosqueattack islamophobia trumpracist trump ,Negative,Negative,Negative,Negative,Negative
do you think you bear any responsibly for what happened in new zealand yesterday well i think you do your islamophobia and antiimmigrant rants arent just heard in the usa but are heard throughout the world your talk stirs up the idiots like the one who ,Positive,Negative,Negative,Positive,Positive
does anyone still dispute the link between right wing politicians espousing islamophobia antisemitism xenophobia and right wing terrorists reminding you that australia was a british penal colony so you and yours are actually descendants of criminals ,Negative,Negative,Negative,Negative,Negative
does anyone still dispute the link between senator fraser anning and islamophobia does anyone still dispute the link between muslim immigration and violence ,Negative,Negative,Negative,Negative,Negative
does the country need the same laws against islamophobia as there are against antisemitism wouldnt expect to support laws against islamophobia well said he nails blame on boris johnson his islamaphobic letterbox comments theresa mays hostileenvironment and farages breaking point poster for fuelling racism their own vile agendas ,Negative,Negative,Negative,Negative,Negative
doesnt get it when you make sweeping statements as against being specificie muslim women wear instruments of oppression islam is with western values mock those that refer to islamophobia you help feed the fear loathing of an entirety ,Negative,Negative,Positive,Negative,Positive
doesnt mention muslims or mosques once demonizes refugees and associates with islamophobia muslimsarenotterrorists voteouthate abpoli unthinkably evil to shoot people while they pray an unspeakable crime not only against human life but also the freedom of religion prayers for the survivors and the loved ones of those attacked ,Positive,Negative,Negative,Positive,Negative
donald trump and andrew scheer have not condemned white supremacy or islamophobia what happened in new zealand is horrifying the rise of white supremacy white nationalism is frightening world leaders play a role in stoking this hatred if you are not condemning white supremacy you are condoning it if potus doesnt condemn he condones ,Negative,Negative,Negative,Negative,Negative
dont even get me started on these racist public figures who usually promotes islamophobia suddenly acting shocked and saddened i want to fight ,Negative,Negative,Negative,Negative,Negative
dont forget the editor of the sunday times who still employs a columnist who thinks that there isnt enough islamophobia in the sunday times ,Positive,Negative,Negative,Negative,Positive
dont forget the medias role in dehumanising muslims christchurch mosque attack newzealand islamophobia ,Negative,Negative,Negative,Negative,Negative
dont forget to call out or call in your friends and family and colleagues who think doing nothing against islamophobia is an option silence and indifference normalize white supremacy my heart aches tremendous love and respect to all those who continue to name and fight white supremacy and violence ,Positive,Negative,Negative,Positive,Positive
dont go to masjid for your safety best believe ima go there and wish to die at the masjid islamophobia ,Positive,Positive,Positive,Positive,Positive
dont just condemn the new zealand attacks sad politicians and pundits must stop their antimuslim rhetoric at least muslims were killed in their mosques its time to end the appeals to islamophobia from trump cruz and many others the post do ,Negative,Negative,Negative,Negative,Negative
dont let the victims of christchurchmosqueshooting die in vain remember their names fight and speak out against islamophobia dont idly stand and watch bigots spread racist rhetoric without doing anything about it ,Negative,Negative,Negative,Negative,Negative
dont mess with our faith we are peaceful christchurchmosqueattack new zealand christchurch christchurch attack stopkillingmuslims white terrorist faith islamophobia ,Positive,Negative,Negative,Positive,Positive
dont mess with our faith we are peaceful christchurchmosqueattack new zealand christchurch christchurch attack stopkillingmuslims white terrorist faith islamophobia islam ,Positive,Negative,Negative,Positive,Positive
dont talk about combating hate and islamophobia without dealing with the real reasons why such hatred for islam and muslims exist exposing the war against islam get to the root ,Negative,Negative,Negative,Negative,Negative
dont tell me there are no words here are some words for you i will support the resolution condemning islamophobia those are words strong enough to condemn that behaviour but you will never utter them and i know why ,Positive,Negative,Positive,Positive,Positive
dont tolerate hate and bigotry anymore snuff it out suffocate their hate call out those complicit as well newzealandterrorattack islamophobia nomore ,Positive,Negative,Positive,Positive,Positive
dont worry im sure you can find a better time between white nationalist terrorist attacks to pander to bigotry and islamophobia ,Negative,Negative,Negative,Negative,Negative
dont you support the zionist state of israel do you know what zionism is its a direct attack at muslimchristian palestinians alike if youre tryna stop islamophobia stop fucking supporting benjamin netanyahu thanks im sickened by the news coming out of new zealandthe horrific terrorist attack targeting muslims at prayer that killed at least people the rising tide of white supremacy and islamophobia around the globe ,Negative,Negative,Negative,Negative,Negative
dramatic self own on the islamophobia front here what happened in nz is the result of fanatical murderous hatred islamophobia is a term invented to silence acknowledgement of another kind of fanatical murderous hatred to understand what that is try reading your own timeline ,Negative,Negative,Negative,Negative,Negative
drhabibnewzealandmassacre ankara turkey sad turkish president recep tayyip erdogan has condemned the attacks on mosques in the new zealand city of christchurch calling it the latest example of rising racism and islamophobia ,Negative,Negative,Negative,Negative,Negative
dubai until this moment didnt act against the attack this picture following people were killed in france does the trait have to be for business only or political influence stop islamophobia everywhere and be just newzealandmosqueattack ,Negative,Negative,Negative,Negative,Negative
dude your rhetoric provides the real problem in this country your supporters are not real americans they are killing innocent people bc they think its their country this shit spills all over the place including newzealandterroristattack islamophobia ,Negative,Negative,Negative,Negative,Negative
during the election the whole cpc was fanning the flames of islamophobia with their antirefugee platform i never had to delete so many people on facebook there a lot of people out there who just want straight up global genocide of muslims years of propaganda led to this ,Positive,Negative,Positive,Positive,Positive
during your presidency during your election campaign islamophobia took a sharp rise attacks on innocent muslims innocent immigrants mosques have skyrocketed nihad awad executive director cofounder of council on americanislamic ,Positive,Negative,Negative,Positive,Positive
during your presidency islamophobia took a sharp rise we hold you responsible for this growing antimuslim sentiment council on americanislamic relations cair executive director nihad awad to pres trump your words matter your policies matter you should ,Positive,Negative,Negative,Positive,Positive
earlier today white supremacists attacked two mosques in new zealand killing dozens of worshippers we condemn islamophobia and white supremacy in all forms and send our thoughts to those affected locally and the greater muslim community ,Negative,Negative,Negative,Negative,Negative
east london muslim was attacked by white males earlier today during friday prayers hours after newzealand terror attack they drove past a mosque shouting antiislam slogans calling worshippers terrorists locals followed confronted the culprits islamophobia ,Negative,Negative,Negative,Negative,Negative
editorial after a horrific massacre in new zealand we mourn again islamophobia newzealandshootings christchurchterroristattack ,Negative,Negative,Negative,Negative,Negative
end islamophobia end racism christchurchmosqueattack christchurch christchurchattack endislamophobia endracism ,Negative,Negative,Negative,Negative,Negative
endwhitesupremacistterrorism atleast people killed and several others injured in mosque by a white supremacist terrorist in a country like new zealand islamophobia is rising and farright ideologies are progressing thus creating imminent threat to our own muslim community ,Negative,Negative,Negative,Negative,Negative
enough hypocrisy your administration made the extremist wahhabist groups and supported them to justify your intervention in many countries under the pretext of fighting terrorisim and spreading democracy and then make the term islamophobia that results in such accidents ,Negative,Negative,Negative,Negative,Negative
erdogan calls newsealand mosqueattack new example of islamophobia and racism turkeynews news turkey news turkey ,Negative,Negative,Negative,Negative,Negative
erdogan condemns deplorable terror attacks on new zealand mosques rising islamophobia ,Negative,Negative,Negative,Negative,Negative
erdogan condemns mosque attack and says racism taking over west he said said the islamophobia that motivated the attacks has rapidly started to take over western communities like a cancer via ,Negative,Negative,Negative,Negative,Negative
erdogan did not spare a moment to use christchurchmosqueshooting to rally his constituency for elections he them to watch the horrible footage and makes provocative remarks against the west so hard to tackle islamophobia with leaders like him in charge ,Negative,Negative,Positive,Negative,Positive
eu institutions need to take some serious steps in the scary rise of islamophobia and reflect that into policies newzealand ,Negative,Negative,Negative,Negative,Negative
even if we remove all the white people and all the islamophobia and all the western world we still would have constant violence and terrorism against muslim populations blaming white people doesnt work blaming islamophobia doesnt work these attacks happen regardless ,Negative,Negative,Negative,Negative,Negative
even in the peaceful highlands where i live islamophobia is on the rise fyi if youre ever in inverness please feel free to visit anytime we are a small community but will anyone with open man phoned an inverness mosque and delivered a racist rant during a call lasting almost eight minutes ,Negative,Positive,Positive,Positive,Positive
even in this article a world tour he makes no mention of british islamophobia which has already had at least one islamophobic terrorist attack ,Negative,Negative,Negative,Negative,Negative
even subtly othered omar by positioning herself as an american implying omar isnt and then when it was clear that the whole thing was disingenuous islamophobia racism and sexism she tried to walk it back but still kept talking toabout omar like shes a child ,Positive,Negative,Negative,Positive,Positive
ever wonder where the hate and islamophobia comes from ,Negative,Positive,Negative,Positive,Negative
every act of violence is inhuman my condolences to the muslim community that in newzealand has suffered this attack in which newzealandmosqueattack islamophobia refugees have so far been killed ,Negative,Negative,Negative,Negative,Negative
every major network promotes islamophobia to justify the wars we wage almost no media is without fault ,Negative,Positive,Positive,Positive,Positive
every politician that politicised islamophobia racial division is complicit in this attack spare us your faux condemnations take responsibility we see you we wont forget your part in all this christchurch ,Negative,Negative,Negative,Negative,Negative
every staff person board member is heartbroken for the families of victims of the terrorist attack in christchurch we will support our muslim brothers sisters in every possible way and we must all speak up when we hear islamophobia or intolerance expressed to any group ,Negative,Negative,Negative,Negative,Negative
every time a terrorist attack is carried out by a muslim were told islamophobia is bad and its not indicative of a bigger problem but when its a white guy suddenly we are told white supremacy is a systemic widespread urgent problem both are terrorist attacks ,Negative,Negative,Negative,Negative,Negative
every time something like this happens the prevalence of islamophobia in predominantly white countries is highlighted then after a few months it blows over when will the worlds eyes open to the fact that white people are the terrorists here not muslim people who do nothing ,Negative,Negative,Negative,Negative,Negative
every time studio today and sunrise have segments about whether burkas should be banned or if a mosque should be built somewhere they normalise islamophobic hatred just a reminder that these shows regularly normalise islamophobia for profit ,Negative,Negative,Negative,Negative,Negative
every year your children go to italy and england and when elections are held in india gandhi nagar and rae bareli sit in a sitin with a garibon drama is your favorite frog terror is a mistake it is possible that islamophobia ,Negative,Negative,Negative,Positive,Positive
everyday proves what a piece of shit he is as if we needed further proof veto impeach trump newzealand shooting white supremacists theresistance islamophobia terrorism newzealandterroristattack ,Negative,Negative,Negative,Negative,Negative
everyone take a minute out of your day and pray for the victims and their families of the new zealand shooting islamophobia is a real issue and the shooter should pay for what he has done rest in peace to the victims ,Positive,Negative,Negative,Positive,Positive
everyone will forget next morning but what about those who they lost their beloved newzealandmosqueattacks islamophobia ,Positive,Positive,Positive,Positive,Positive
everything we say to try to tear people apart demonize particular groups set them against each otherthat all has consequences even if we are not the ones with our fingers on the trigger christchurch newzealandshooting islamophobia you will have to forgive me these wont be my best words ,Negative,Negative,Negative,Negative,Negative
exactly just read the comments of any report on this by a news outletpersonality w a big following ull see how much hatred and islamophobia is in this country please dont pretend to be shocked that an australian bloke is behind the horrific scene in christchurch people the continual displays of faux shock that australia breeds rabid racists is just offensive my solidarity to the muslim community at this terrible time ,Negative,Negative,Negative,Negative,Negative
exactly key word enablers trump is getting away with it bc of the base who enables him we should not be so angry just with trump but everyone who enables the hate the racism the islamophobia the pc version of antisemitism that lacks authenticity ,Negative,Negative,Negative,Negative,Negative
exactly nonmuslim desis step up now be vocal build community and maybe we can help stem this in the future islamophobia needs to be shunned my fellow nonmuslim south asian americans know too well how shamefully deep islamophobia runs in our communities its part of what for the overrepresentation of indian americans in the trump administration public vocal solidaritys incumbent on us too ,Positive,Negative,Negative,Positive,Positive
exactlythis is what islamophobia isyou are a great example and no less than those terrorist talking nonsense and infuriating hate at such kind of incidentwaiti seeyou are an indianjustified chutiyapakhoti de puttar ,Negative,Negative,Positive,Negative,Positive
excellent piece by on the need to deal with islamophobia antimuslim bigotry to avoid other attacks christchurch newzeland terrorismhasnoreligion the islamophobia that led to the christchurch shooting must be confronted ,Negative,Negative,Negative,Negative,Negative
excellent you have said what many muslims feel but dont know how to express the new zealand shooting put the medias islamophobia problem on display yet again los angeles times ,Negative,Negative,Negative,Negative,Negative
excusing a racist who pretends to care about muslims when he actively incites islamophobia is more disgusting ,Negative,Negative,Negative,Negative,Negative
executive director of ayman hammous calls for us to stand against antisemitism islamophobia and racism it is time for mainstream media to call these attacks acts of terror ,Negative,Negative,Negative,Positive,Negative
executive director of majlis ashshura of new york speaks on the systemic islamophobia plaguing our societies and calls on the need for our elected officials to make sincere and concerted efforts to stifle the rise in hatred ,Negative,Negative,Negative,Negative,Positive
extremism has again shown its ugly face my thoughts and prayers are with the familieswho have lost their beloved ones christchurchattack terrorism islamophobia ,Negative,Negative,Negative,Negative,Negative
extremist white supremacy and islamophobia what happened in christchurch is beyond heartbreaking we need to eradicate islamophobia and white supremacist ideologies in all forms any hwhite person commenting on this terror attack that is not by name calling out white supremacy and islamophobia is suspect no thoughts and prayers ,Negative,Negative,Negative,Positive,Negative
facebook social media criticized as slow to stop new zealand video islamophobia newzealandshooting newzealandterroristattack ,Negative,Negative,Negative,Negative,Positive
fair in this case bernie could have chosen clarification by stating muslim islamophobia since not everyone may have been aware hes one of the few that stand solidarity for muslims as well bernie sanderss appears to be brilliant when fairly criticized improve mindfully ,Positive,Negative,Negative,Negative,Negative
faithism is painful we must come together with all of our neighbours to support them in fighting against islamophobia islamophobia is wrong ,Negative,Positive,Negative,Positive,Negative
farid funny how you missed to name any of the real causes behind islamophobia oil oil oil oil oil oil oil oil oil oil oil oil oil oil oil oil oil oil oil oil oil oil oil oil oil oil oil oil oil oil oil oil oil oil oil oil oil oil oil oil oil oil racism fascism white supremacy ,Negative,Negative,Negative,Negative,Positive
fascists praising the attack and the motivation behind it and no one is noticing newzealandterroristattack islamophobia ,Negative,Negative,Positive,Negative,Positive
fbf in sf street artists deployed ms marvel muslim superhero to combat islamophobia on local bus adsproving you dont need powers to be a hero all you need is the willingness to speak out and take action in the face of bigotry ,Positive,Negative,Negative,Positive,Positive
fight islamophobia also zac goldsmith on sadiq khan as mayor are we really going to hand the worlds greatest city to a labour party that thinks terrorists are its friends ,Positive,Negative,Negative,Negative,Negative
fight islamophobia quebec city mosque president boufeldja benabdallah said news of the christchurch shooting brings indescribable pain to those who lost families in the shooting at his mosque ,Negative,Negative,Negative,Negative,Negative
fight the islamophobia will not win with the heartbreaking news out of new zealand we now see that the rise of rwnj whitesupremacists is not just an american problem we must fight this at its source and that begins by aligning with likeminded friends follow all who ,Negative,Negative,Negative,Negative,Positive
finding out about the new zealand terrorist attack against those who are praying in a newzealand terroristattack mosque differences in creed and religion should never come to this islamophobia ,Negative,Negative,Negative,Negative,Negative
finlandia hall tonight dark blue to remember the victims of the christchurch racism altright farright racisme islamophobia farrightterrorism whitesupremacist christchurchattack christchurchmosque christchurchshooting christchurchterrorist ,Negative,Negative,Negative,Negative,Negative
first he condemned islamophobia later he realised oh wait i am the one who is promoting this so he deleted his tweet christchurch christchurchmosqueattack ,Negative,Negative,Positive,Positive,Positive
first new zealand and now an attack at a mosque in east london with a hammer the only good thing is katie hopkins has not put her p in because i think im done with all the islamophobia for today ,Negative,Negative,Positive,Negative,Negative
first the systemic islamophobia in our security system ive had a friend receive a warning from the secret services just for having middleeastern heritage and visiting a suspicious website but these people spouted vitriol on forums for years and werent even on a watchlist ,Positive,Negative,Negative,Positive,Positive
fispahani the islamophobia that led to the christchurch shooting must be confronted by hahellyer the islamophobia that led to the christchurch shooting must be confronted ha hellyer ,Negative,Positive,Negative,Positive,Positive
folks around here acting like islamophobia is isolated and fringe like everyone who grew up in a white american suburb didnt hear sandn a thousand times ,Positive,Negative,Positive,Positive,Positive
following the heartbreaking terrorist attacks in new zealand i repost my article for supplications for safety during the period of islamophobia please share widely ,Negative,Negative,Negative,Positive,Negative
following the shooting in nz i talked to several experts in canada about islamophobia islamophobia in canada isnt new experts say its time we face the problem ,Negative,Positive,Negative,Positive,Negative
following yesterdays events enjoy expresses our heartfelt condolences to the people of otautahi in particular to the citys muslim community and to muslim communities across aotearoa we stand in solidarity against hatred white supremacy and islamophobia kia kaha ,Negative,Negative,Negative,Negative,Positive
for a country that hasnt seen any violence in the past years this is without doubt the worst incident of right winged terrorism newzealandterroristattack islamophobia ,Positive,Negative,Negative,Positive,Positive
for all the christians who hate muslims and help fuel islamophobia why dont you actually read what the bible says about how to treat those who arent christian your only job is to love them as jesus loved us muslims arent our enemies they are the ones for whom christ died ,Positive,Negative,Negative,Positive,Positive
for all their claims of being against hate and violence the still stands en masse behind a racist islamophobe who incites violence and inspires terror that tells you how much they value peace and equality newzealandshooting islamophobia nzmosqueshooting ,Negative,Negative,Negative,Negative,Negative
for politicians posting statements if it aint a condemnation of white supremacy islamophobia and xenophobia go back to the drawing board name a spade a damn spade dozens of people were killed because of those forms of hatred newzealandmosqueattacks ,Negative,Negative,Negative,Negative,Negative
for real ive seen so much islamaphobia today literally i am scared to walk alone cos i worry everyday someone may attack me or yell racial slurs at me we are still human we are not terrorists we are not killers stop treating us like crap islamophobia ,Negative,Negative,Negative,Negative,Negative
for those unableunwilling to see the hypocrisy of those who offer thoughts and prayers for muslim victims of terror after actively portraying muslims in a solely negative light here is a dumbed down example trump islamophobia muslimban newzealand ,Negative,Negative,Negative,Negative,Negative
for those who want this is of what i think in general of these situations i was quite confused in tears and i needed to write to reorder a bit the mind i never talk about it but that video newzealand noveliaelchchurch islamophobia ,Negative,Negative,Negative,Negative,Negative
for those who want to organize against islamophobia in your community here is a syllabus to get you started ,Positive,Positive,Negative,Positive,Positive
foreign policys top reads on islamophobia and right wing terrorism around the world ,Negative,Negative,Negative,Negative,Negative
former proud boy juan cadavid aka johnny benitez in his fred perry polo at a san bernardino antisharia rally with partner irma hinojosa both continue to push islamophobia advocate raising funds for neonazi members of ram rise above movement ,Positive,Positive,Positive,Positive,Positive
fortunately there is no islamophobia in the conservative party there can be no place in our societies for the vile ideology that drives and incites hatred and fear our thoughts and prayers are with the people of new zealand ,Negative,Negative,Negative,Negative,Negative
forty years ago the main problems on this planet was struggling of african countries foe independence and middle east for palestinian rights and south american marxist ideology countries like nicaragua we never heard islamophobia or terrorists only irish rep army killers in uk i am extremely worried about an attack on a mosques on the scale of those in christchurch here in the us where antimuslim hate islamophobia have been growing for yrs trump has continued not invented it an arsonist set my brothers mosque in the midwest on fire in ,Negative,Negative,Negative,Negative,Negative
fox news normalized islamophobia republicans made it acceptable trump spearheaded the fascists theyre to blame for inspiring the new zealand mosque massacre ,Positive,Positive,Negative,Positive,Positive
frankfurter allgemeine zeitung faz front page shock over attacks in new zealand with a companion editorial deadly islamophobia ,Negative,Negative,Negative,Negative,Negative
fraseranning queensland australia newzealand christchurch christchurchmosqueattack farright extremism terrorism islamophobia islam west history uspolitics eupol ukpolitics auspol cdnpoli here is how the deadly attack on two mosques in christchurch unfolded ,Negative,Negative,Negative,Negative,Negative
fraseranning queensland australia newzealand christchurch christchurchmosqueattack farright extremism terrorism islamophobia islam west history uspolitics eupol ukpolitics auspol cdnpoli newzealandmosqueshooting ,Negative,Negative,Negative,Negative,Negative
fraseranning queensland australia newzealand christchurch christchurchmosqueattack farright extremism terrorism islamophobia islam west uspolitics eupol ukpolitics auspol cdnpoli profound heartbreaking words from australian cohost waleed aly speaking on the terrorist attack in christchurch new zealand ,Negative,Negative,Negative,Negative,Negative
fraseranning queensland australia newzealand christchurch christchurchmosqueattack farright extremism terrorism islamophobia islam west uspolitics eupol ukpolitics auspol this is all that needs to be said about horrific christchurchterroristattack right now brave and honest waleeds critique of australian politics stretches across the globe and we all know even this horrific attack wont change it ,Negative,Negative,Negative,Negative,Negative
fred trump was arrested as a member of the kk his son embraces islamophobia and anti immigrant policies ,Negative,Positive,Negative,Positive,Positive
free tip if you want to be seen a party for peace and equality dont stand behind a raving white supremacist who incites violence and maliciously attacks muslims newzealandshooting islamophobia nzmosqueshooting ,Positive,Negative,Negative,Positive,Positive
friday khutabah on newzealand massacre there is no places in civil society for antisemitism racism and islamophobia and we all must speak out against all forms of prejudice against minorities christchurchterroristattack via ,Negative,Negative,Negative,Negative,Negative
fridayfeeling fridaymotivation at the veto rite racist habitual liar donaldtrump does what he does best hypocrisy lying lies to pander to racist xenophobia after deploring the islamophobia newzealandshootings that he inspired ,Negative,Negative,Negative,Negative,Negative
friends please consider attending this emergency and rally to protest white supremacy and islamophobia in the wake of the horrible attack in new zealand more information email at info ,Negative,Negative,Negative,Negative,Negative
from a tragedy such as this will take time but we must continue to fight the evil reigns of white supremacy and islamophobia anywhere and everywhere in the hopes that one day these acts of terrorism may end ,Negative,Negative,Negative,Negative,Negative
from presidential address islamophobia as a social problem prejudice is an antipathy based on faulty and inflexible generalization it may be felt or expressed it may be directed toward a group or an individual of that group ,Negative,Negative,Negative,Negative,Negative
from the farright muslim hating politician to the islamophobia peddling public figure to the neonazi youtuber each and everyone who has inspired the christchurchmosqueattack terrorist has blood of innocent muslims on their hands every single one of you christchurch ,Negative,Negative,Negative,Negative,Negative
from the horses mouth mr abbott said weve got to avoid any spirit of surrender too often in officialdoms ranks there is this notion that islamophobia is almost as big a problem as islamic terrorism well islamophobia hasnt killed anyone ,Negative,Negative,Negative,Negative,Negative
from the islamophobia never killed anyone guy still coming to terms with the monstrous events in christchurch muslims are our neighbours workmates friends family and fellow citizens ,Positive,Negative,Negative,Positive,Positive
from this chart we can clearly see the large group of trump haters leftists socialists and right to life haters that are committing hate crimes just because trump sows fear and hate doesnt mean well reap the same christchurchmosqueshooting islamophobia ,Negative,Negative,Negative,Negative,Negative
from tony abbott says islamophobia hasnt killed anyone hes wrong ,Positive,Negative,Negative,Positive,Positive
